date,Services,Services (wage-sensitive),Services (excl. wage-sensitive),geo
2025-03-01,4.7191011235955145,5.409849396860818,3.762206375350932,UK
2025-02-01,4.973624717407704,5.4489225036472035,3.968425915933417,UK
2025-01-01,5.003790750568609,5.3566467671188835,4.0177341571269345,UK
2024-12-01,4.360902255639107,5.668259774015391,3.914651145030181,UK
2024-11-01,5.011389521640109,5.925811683080958,4.382266274504539,UK
2024-10-01,5.003790750568609,5.613972471441786,4.258374633041191,UK
2024-09-01,4.946727549467275,5.33316173826222,4.418596223010691,UK
2024-08-01,5.572519083969475,5.790217667455212,4.497554574584992,UK
2024-07-01,5.190839694656497,5.473061877126269,4.7083270513874,UK
2024-06-01,5.70547417116423,5.140602836474964,5.743375087071192,UK
2024-05-01,5.736434108527136,4.7609545629873535,5.684385966913623,UK
2024-04-01,5.859375,4.880897133993059,5.96511769955971,UK
2024-03-01,5.952380952380952,5.0678357853607245,6.010025061748165,UK
2024-02-01,6.075139888089525,4.783998936545383,6.27576981272959,UK
2024-01-01,6.542810985460427,5.172089188950543,6.966826448341735,UK
2023-12-01,6.4,4.737656846398609,6.685449390970839,UK
2023-11-01,6.209677419354829,4.420992279076293,7.01677563032386,UK
2023-10-01,6.542810985460427,4.766889594457377,7.355348364289506,UK
2023-09-01,6.916192026037428,4.885480012073403,7.861070576477445,UK
2023-08-01,6.764466177669109,4.603479084952356,7.689659254720219,UK
2023-07-01,7.465135356849872,4.8982338975004325,8.512724806065226,UK
2023-06-01,7.19008264462809,5.03330277507374,8.415063756770797,UK
2023-05-01,7.321131447587352,5.161234712887562,8.761884249175429,UK
2023-04-01,6.934001670843773,5.325239666562934,8.466446449472983,UK
2023-03-01,6.68924640135479,4.460110656746381,8.569674108759548,UK
2023-02-01,6.649616368286443,4.5345004441332355,8.740530400895192,UK
2023-01-01,5.902480752780146,4.393253806896932,7.778073193953884,UK
2022-12-01,6.837606837606838,4.18368894010104,8.707897474255264,UK
2022-11-01,6.346483704974276,4.167223187911451,8.11614552298304,UK
2022-10-01,6.266094420600855,4.085391650226814,7.883951618370004,UK
2022-09-01,6.131260794473238,4.028660828275913,7.703305832362757,UK
2022-08-01,5.958549222797933,3.865253269416688,7.218101603682668,UK
2022-07-01,5.724197745013017,3.44531667259382,7.500937292781155,UK
2022-06-01,5.217391304347826,3.495779072792586,7.033326238734004,UK
2022-05-01,4.886561954624789,3.5626369933966484,6.397027801541178,UK
2022-04-01,4.724409448818903,3.473530022590446,6.448496455780769,UK
2022-03-01,3.961267605633803,3.0240796664801537,5.413876349008976,UK
2022-02-01,3.4391534391534315,3.0478029220088816,4.313506726683087,UK
2022-01-01,3.268551236749119,2.7783064135505766,3.9882296883990342,UK
2021-12-01,3.448275862068971,3.101000543715395,4.347537302317596,UK
2021-11-01,3.368794326241132,2.9425970925034206,4.094255492079958,UK
2021-10-01,3.280141843971634,2.652583089619863,4.270395849589882,UK
2021-09-01,2.5686448184233757,2.170699351254796,3.535941259077054,UK
2021-08-01,3.024911032028462,2.1762939314322476,5.306957301739268,UK
2021-07-01,1.5859030837004378,2.3396600340034146,2.0912438935778144,UK
2021-06-01,2.1314387211367727,2.4329175148942888,2.3821325955503743,UK
2021-05-01,1.8666666666666616,2.3278495129521244,1.98726218731228,UK
2021-04-01,1.5999999999999976,1.9901700167785576,1.4937451750234862,UK
2021-03-01,1.5192135835567369,1.6637280239187708,1.1723136300245136,UK
2021-02-01,1.5219337511190714,1.8640942488580132,1.0537237631512677,UK
2021-01-01,1.707097933513033,1.8036489384784211,1.5228538708826596,UK
2020-12-01,1.4349775784753314,1.6736142911064826,1.094418417745894,UK
2020-11-01,1.4388489208633042,1.7630908015201334,1.0952122678386862,UK
2020-10-01,1.3477088948787064,2.003633043248843,0.7974322359284503,UK
2020-09-01,1.4375561545372944,1.7936075134651597,0.8126012741652487,UK
2020-08-01,0.6266786034019721,1.841676329473824,-0.4121963738588168,UK
2020-07-01,2.0683453237410045,1.9272852514179724,1.8989208866525749,UK
2020-06-01,1.8083182640144664,1.627241398635887,1.83542879265616,UK
2020-05-01,1.9945602901178632,1.759444970833967,2.068665780083336,UK
2020-04-01,1.9945602901178632,1.9028013247841071,2.209823228810055,UK
2020-03-01,2.566452795600377,2.841258538928455,2.7017665596771647,UK
2020-02-01,2.4770642201834887,2.853537611140415,2.872064216411814,UK
2020-01-01,2.297794117647059,2.9606420264046114,2.405906693106139,UK
2019-12-01,2.1062271062271036,2.7715282697093104,2.336447106169766,UK
2019-11-01,2.4884792626728136,2.8351219368011384,2.632011652197278,UK
2019-10-01,2.58064516129032,2.7234242555617914,2.897788500256872,UK
2019-09-01,2.48618784530387,2.8960452147394733,3.052700525843205,UK
2019-08-01,2.2893772893772892,2.773008921688291,2.587168157572965,UK
2019-07-01,2.4884792626728136,2.7590040149045745,2.895213319131372,UK
2019-06-01,2.502316960148274,2.9163637168629086,2.5438223952982746,UK
2019-05-01,2.5092936802974006,2.8198743785302014,2.735794201872376,UK
2019-04-01,2.891791044776114,2.7651001419617827,2.7517310407403026,UK
2019-03-01,2.441314553990605,2.7235387001655216,2.544217471333921,UK
2019-02-01,2.4436090225563856,2.532936184043992,2.3953435430571783,UK
2019-01-01,2.544769085768146,2.5245310565383927,2.4978271995041124,UK
2018-12-01,2.4390243902439104,2.697820417223352,2.7119038193392293,UK
2018-11-01,2.455146364494801,2.7990361962883843,2.304102408973151,UK
2018-10-01,2.455146364494801,2.789287111541695,2.339089347155644,UK
2018-09-01,2.35626767200754,2.440550811621019,2.211004368009045,UK
2018-08-01,2.535211267605636,2.470485198105186,2.3883430889406703,UK
2018-07-01,2.358490566037736,2.445068328235401,2.310862877236525,UK
2018-06-01,2.274881516587683,2.4565237204369232,2.5124780772724047,UK
2018-05-01,2.378686964795433,2.5679088695830985,2.249230129804605,UK
2018-04-01,2.095238095238098,2.539450836498762,2.452849673277562,UK
2018-03-01,2.6011560693641647,2.690682174822395,2.453870638629615,UK
2018-02-01,2.4061597690086622,2.7199123081506236,2.445531686730017,UK
2018-01-01,2.710551790900288,2.7249822204301486,2.876544039748762,UK
