date,time,event,geo,category
2026-03-19,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2026-03-19,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2026-03-18,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2026-02-18,14:00 (EST),FOMC minutes,Fed,Meeting
2026-02-05,14:15 (CET),Monetary policy meeting in Frankfurt,ECB,Meeting
2026-02-05,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2026-01-28,14:00 (EST),FOMC meeting,Fed,Meeting
2025-12-31,14:00 (EST),FOMC minutes,Fed,Meeting
2025-12-29,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2025-12-24,08:50 (JST),BoJ minutes (Oct),BoJ,Meeting
2025-12-19,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-12-18,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2025-12-18,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-12-18,12:00 (BST),MPC decision,BoE,Meeting
2025-12-10,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2025-11-19,14:00 (EST),FOMC minutes,Fed,Meeting
2025-11-10,08:50 (JST),BoJ summary of opinions (Oct),BoJ,Meeting
2025-11-06,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2025-11-05,08:50 (JST),BoJ minutes (Sep),BoJ,Meeting
2025-10-31,14:00 (JST),BoJ outlook report,BoJ,Meeting
2025-10-30,14:15 (CET),Monetary policy meeting hosted by the Bank of Italy,ECB,Meeting
2025-10-30,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-10-30,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-10-29,14:00 (EST),FOMC meeting,Fed,Meeting
2025-10-08,14:00 (EST),FOMC minutes,Fed,Meeting
2025-09-30,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2025-09-25,08:50 (JST),BoJ minutes (Jul),BoJ,Meeting
2025-09-19,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-09-18,12:00 (BST),MPC decision,BoE,Meeting
2025-09-17,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2025-09-11,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2025-09-11,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-08-20,14:00 (EST),FOMC minutes,Fed,Meeting
2025-08-08,08:50 (JST),BoJ summary of opinions (Jul),BoJ,Meeting
2025-08-07,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2025-08-05,08:50 (JST),BoJ minutes (Jun),BoJ,Meeting
2025-08-01,14:00 (JST),BoJ outlook report,BoJ,Meeting
2025-07-31,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-07-30,14:00 (EST),FOMC meeting,Fed,Meeting
2025-07-24,14:15 (CET),Monetary policy meeting in Frankfurt,ECB,Meeting
2025-07-24,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-07-09,14:00 (EST),FOMC minutes,Fed,Meeting
2025-06-25,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2025-06-20,08:50 (JST),BoJ minutes (Apr),BoJ,Meeting
2025-06-19,12:00 (BST),MPC decision,BoE,Meeting
2025-06-18,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2025-06-17,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-06-05,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2025-06-05,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-05-28,14:00 (EST),FOMC minutes,Fed,Meeting
2025-05-13,08:50 (JST),BoJ summary of opinions (Apr),BoJ,Meeting
2025-05-08,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2025-05-08,08:50 (JST),BoJ minutes (Mar),BoJ,Meeting
2025-05-07,14:00 (EST),FOMC meeting,Fed,Meeting
2025-05-02,14:00 (JST),BoJ outlook report,BoJ,Meeting
2025-04-17,14:15 (CET),Monetary policy meeting in Frankfurt,ECB,Meeting
2025-04-17,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-04-09,14:00 (EST),FOMC minutes,Fed,Meeting
2025-04-01,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-03-28,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2025-03-25,08:50 (JST),BoJ minutes (Jan),BoJ,Meeting
2025-03-20,12:00 (BST),MPC decision,BoE,Meeting
2025-03-19,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2025-03-19,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-03-06,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2025-03-06,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-02-19,14:00 (EST),FOMC minutes,Fed,Meeting
2025-02-06,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2025-02-03,08:50 (JST),BoJ summary of opinions (Jan),BoJ,Meeting
2025-01-30,14:15 (CET),Monetary policy meeting in Frankfurt,ECB,Meeting
2025-01-30,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2025-01-29,14:00 (EST),FOMC meeting,Fed,Meeting
2025-01-27,14:00 (JST),BoJ outlook report,BoJ,Meeting
2025-01-24,12:00 (JST),BoJ meeting,BoJ,Meeting
2025-01-16,13:30 (CET),Monetary policy minutes,ECB,Meeting
2025-01-08,14:00 (EST),FOMC minutes,Fed,Meeting
2024-12-27,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2024-12-24,08:50 (JST),BoJ minutes (Oct),BoJ,Meeting
2024-12-19,12:00 (BST),MPC decision,BoE,Meeting
2024-12-19,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-12-18,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2024-12-12,14:15 (CET),Monetary policy meeting in Frankfurt & staff projections,ECB,Meeting
2024-12-12,14:45 (CET),Monetary policy press conference (<a href='https://www.ecb.europa.eu/press/press_conference/html/index.en.html'>link</a>),ECB,Meeting
2024-11-28,14:00 (EST),FOMC minutes,Fed,Meeting
2024-11-11,08:50 (JST),BoJ summary of opinions (Oct),BoJ,Meeting
2024-11-07,14:00 (EST),FOMC meeting,Fed,Meeting
2024-11-07,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2024-11-06,08:50 (JST),BoJ minutes (Sep),BoJ,Meeting
2024-11-01,14:00 (JST),BoJ outlook report,BoJ,Meeting
2024-10-31,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-10-17,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-10-09,14:00 (EST),FOMC minutes,Fed,Meeting
2024-10-01,08:50 (JST),BoJ summary of opinions (Sep),BoJ,Meeting
2024-09-26,08:50 (JST),BoJ minutes (Jul),BoJ,Meeting
2024-09-20,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-09-19,12:00 (BST),MPC decision,BoE,Meeting
2024-09-18,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2024-09-12,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-08-21,14:00 (EST),FOMC minutes,Fed,Meeting
2024-08-08,08:50 (JST),BoJ summary of opinions (Jul),BoJ,Meeting
2024-08-05,08:50 (JST),BoJ minutes (Jun),BoJ,Meeting
2024-08-01,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2024-08-01,14:00 (JST),BoJ outlook report,BoJ,Meeting
2024-07-31,14:00 (EST),FOMC meeting,Fed,Meeting
2024-07-31,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-07-18,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-07-03,14:00 (EST),FOMC minutes,Fed,Meeting
2024-06-24,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2024-06-20,12:00 (BST),MPC decision,BoE,Meeting
2024-06-19,08:50 (JST),BoJ minutes (Apr),BoJ,Meeting
2024-06-14,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-06-12,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2024-06-06,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-05-22,14:00 (EST),FOMC minutes,Fed,Meeting
2024-05-09,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2024-05-09,08:50 (JST),BoJ summary of opinions (Apr),BoJ,Meeting
2024-05-02,08:50 (JST),BoJ minutes (Mar),BoJ,Meeting
2024-05-01,14:00 (EST),FOMC meeting,Fed,Meeting
2024-04-29,14:00 (JST),BoJ outlook report,BoJ,Meeting
2024-04-26,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-04-11,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-04-10,14:00 (EST),FOMC minutes,Fed,Meeting
2024-03-28,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2024-03-25,08:50 (JST),BoJ minutes (Jan),BoJ,Meeting
2024-03-21,12:00 (BST),MPC decision,BoE,Meeting
2024-03-20,14:00 (EST),FOMC meeting & summary of economic projections,Fed,Meeting
2024-03-19,12:00 (JST),BoJ meeting,BoJ,Meeting
2024-03-07,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-02-21,14:00 (EST),FOMC minutes,Fed,Meeting
2024-02-01,12:00 (BST),MPC decision & monetary policy report,BoE,Meeting
2024-01-31,14:00 (EST),FOMC meeting,Fed,Meeting
2024-01-31,08:50 (JST),BoJ summary of opinions,BoJ,Meeting
2024-01-25,14:15 (CET),Monetary policy meeting,ECB,Meeting
2024-01-24,14:00 (JST),BoJ outlook report,BoJ,Meeting
2024-01-23,12:00 (JST),BoJ meeting,BoJ,Meeting
2023-12-14,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-10-26,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-09-14,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-07-27,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-06-15,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-05-04,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-03-16,14:15 (CET),Monetary policy meeting,ECB,Meeting
2023-02-02,14:15 (CET),Monetary policy meeting,ECB,Meeting
