date,year,jolts_openings,jolts_opening_rate,jolts_quit_rate,unemp_level,unemp_rate,opening_unemployed,openings_mom,openings_yoy
2019-04-01,2019,7272,4.6,2.3,5961,3.7,1.2199295420231504,-0.6150061500615034,-2.8975831219121395
2019-03-01,2019,7317,4.6,2.3,6202,3.8,1.1797807158980973,3.552221907727149,-3.6476165393731885
2019-02-01,2019,7066,4.5,2.4,6136,3.8,1.1515645371577574,-5.811783524393499,-3.25848849945235
2019-01-01,2019,7502,4.8,2.3,6475,4,1.1586100386100386,0.17358792896247088,1.227904466333829
2018-12-01,2018,7489,4.8,2.3,6389,3.9,1.17217091876663,-1.382670529365293,3.898446170921188
2018-11-01,2018,7594,4.8,2.3,6115,3.8,1.2418642681929681,3.9704271631982424,5.618915159944371
2018-10-01,2018,7304,4.7,2.3,6211,3.8,1.1759781033649976,-1.443799757117803,1.0235131396957087
2018-09-01,2018,7411,4.7,2.3,6073,3.7,1.2203194467314342,2.816315205327413,5.629988597491442
2018-08-01,2018,7208,4.6,2.3,6156,3.8,1.1708901884340481,0.25034770514602567,4.813145266831476
2018-07-01,2018,7190,4.6,2.3,6195,3.8,1.1606133979015334,-0.5532503457814641,5.4561454972132495
2018-06-01,2018,7230,4.6,2.3,6447,4,1.121451838064216,3.05017103762828,10.347985347985356
2018-05-01,2018,7016,4.5,2.3,6196,3.8,1.13234344738541,2.0212301875818017,5.9658661833559945
2018-04-01,2018,6877,4.4,2.3,6459,4,1.064715900294163,0.8653564095042476,8.5385101010101
2018-03-01,2018,6818,4.4,2.2,6472,4,1.053461063040791,4.059829059829068,8.72269175570084
2018-02-01,2018,6552,4.2,2.2,6581,4.1,0.9955933748670415,-1.04213864975079,2.2471910112359605
2018-01-01,2018,6621,4.3,2,6489,4,1.020342117429496,4.498106060606055,4.762658227848093
2017-12-01,2017,6336,4.1,2.2,6632,4.1,0.9553679131483716,1.0365173018657359,0.9560229445506607
2017-11-01,2017,6271,4.1,2.2,6774,4.2,0.9257454974904045,-2.137952559300871,0.5290157101635051
2017-10-01,2017,6408,4.2,2.2,6700,4.2,0.9564179104477611,1.3924050632911467,1.6336241078509062
2017-09-01,2017,6320,4.1,2.2,6854,4.3,0.9220892909250072,0.7010834926704845,8.479231033298994
2017-08-01,2017,6276,4.1,2.1,7082,4.4,0.886190341711381,0.6091696056428342,3.0372681004761093
2017-07-01,2017,6238,4.1,2.1,6892,4.3,0.9051073708647708,-1.0626486915146671,7.348132851488565
2017-06-01,2017,6305,4.1,2.2,6873,4.3,0.9173577768077986,8.221764503947826,6.449434408239063
2017-05-01,2017,5826,3.8,2.1,7000,4.4,0.8322857142857143,-4.350681333114426,3.7208474274523784
2017-04-01,2017,6091,4,2.1,7089,4.4,0.8592185075469037,4.818447771467915,2.1294433266264345
2017-03-01,2017,5811,3.8,2.2,7073,4.4,0.821575003534568,-1.890933648488946,-2.6796181544129993
2017-02-01,2017,5923,3.9,2.1,7379,4.6,0.802683290418756,5.447747908136025,5.938114827401186
2017-01-01,2017,5617,3.7,2.2,7468,4.7,0.7521424745581147,-5.81824279007378,-4.277436946148605
2016-12-01,2016,5964,3.9,2.1,7521,4.7,0.7929796569605105,-0.11723329425556983,5.055487053020968
2016-11-01,2016,5971,4,2.1,7553,4.7,0.7905468025949953,6.796637453049548,0.15095605501509457
2016-10-01,2016,5591,3.7,2.1,7811,4.9,0.7157854308027142,-4.7205180640763515,-2.629745733194011
2016-09-01,2016,5868,3.9,2.1,7953,5,0.7378347793285552,3.364453056191641,1.5752120477756648
2016-08-01,2016,5677,3.8,2.1,7784,4.9,0.72931654676259,-4.780275075478024,-2.171290711700846
2016-07-01,2016,5962,4,2.1,7641,4.8,0.7802643633032326,3.831417624521083,-2.724751182900964
2016-06-01,2016,5742,3.8,2.1,7744,4.9,0.7414772727272727,-0.6058507876060215,-0.48526863084922267
2016-05-01,2016,5777,3.9,2.1,7652,4.8,0.7549660219550445,-0.4480441151128778,-3.908848968729206
2016-04-01,2016,5803,3.9,2.1,8067,5.1,0.7193504400644601,-5.318975363028223,-0.7185628742514938
2016-03-01,2016,6129,4.1,2,7961,5,0.7698781560105514,6.221837088388216,4.858853721129175
2016-02-01,2016,5770,3.9,2.1,7702,4.9,0.7491560633601662,-4.025282767797734,1.0861948142957267
2016-01-01,2016,6012,4,2,7627,4.8,0.7882522617018487,2.857142857142847,5.3258584442887225
2015-12-01,2015,5845,3.9,2.1,7907,5,0.7392184140634881,0,1.2471851723540706
2015-12-01,2015,5845,3.9,2.1,7907,5,0.7392184140634881,2.4001401541695833,1.2471851723540706
2015-11-01,2015,5708,3.8,2,8000,5.1,0.7135,0,4.008746355685133
2015-11-01,2015,5708,3.8,2,8000,5.1,0.7135,-1.1259310583751958,4.008746355685133
2015-10-01,2015,5773,3.9,2,7922,5,0.7287301186569048,0,5.597219681726728
2015-10-01,2015,5773,3.9,2,7922,5,0.7287301186569048,5.193148688046656,5.597219681726728
2015-09-01,2015,5488,3.7,2,7907,5,0.6940685468572151,0,-9.379128137384408
2015-09-01,2015,5488,3.7,2,7907,5,0.6940685468572151,0.3841229193341844,-9.379128137384408
2015-08-01,2015,5467,3.7,2,7992,5.1,0.6840590590590591,0,4.1730182926829285
2015-08-01,2015,5467,3.7,2,7992,5.1,0.6840590590590591,-9.725891677675037,4.1730182926829285
2015-07-01,2015,6056,4.1,1.9,8167,5.2,0.7415207542549284,0,8.862124752831214
2015-07-01,2015,6056,4.1,1.9,8167,5.2,0.7415207542549284,15.396341463414643,8.862124752831214
2015-06-01,2015,5248,3.6,1.9,8247,5.3,0.6363526130714199,0,-6.252232940335833
2015-06-01,2015,5248,3.6,1.9,8247,5.3,0.6363526130714199,-5.662412367427649,-6.252232940335833
2015-05-01,2015,5563,3.8,1.9,8834,5.6,0.629726058410686,0,6.775431861804226
2015-05-01,2015,5563,3.8,1.9,8834,5.6,0.629726058410686,-0.6252232940335833,6.775431861804226
2015-04-01,2015,5598,3.8,1.9,8550,5.4,0.6547368421052632,0,2.414928649835346
2015-04-01,2015,5598,3.8,1.9,8550,5.4,0.6547368421052632,7.447216890594999,2.414928649835346
2015-03-01,2015,5210,3.6,2,8515,5.4,0.6118614210217264,0,-2.5074850299401152
2015-03-01,2015,5210,3.6,2,8515,5.4,0.6118614210217264,-4.683497987559459,-2.5074850299401152
2015-02-01,2015,5466,3.7,1.9,8599,5.5,0.6356553087568322,0,6.549707602339172
2015-02-01,2015,5466,3.7,1.9,8599,5.5,0.6356553087568322,2.282934131736525,12.863927317778234
2015-01-01,2015,5344,3.7,2,8885,5.7,0.6014631401238042,0,6.624102154828404
2015-01-01,2015,5344,3.7,2,8885,5.7,0.6014631401238042,4.171539961013648,8.750508750508757
2014-12-01,2014,5130,3.5,1.8,8717,5.6,0.5885052196856717,5.9260788767292905,-4.094223219293324
2014-11-01,2014,4843,3.3,1.9,9090,5.8,0.5327832783278328,-3.3719074221867484,-0.061906727197691414
2014-10-01,2014,5012,3.5,1.9,8990,5.7,0.5575083426028921,1.9943019943019946,0.6021678040947442
2014-09-01,2014,4914,3.4,2,9262,5.9,0.530554955733103,-8.132361189007288,3.5180113756056564
2014-08-01,2014,5349,3.7,1.8,9599,6.1,0.5572455464110845,10.379694593479162,17.148488830486208
2014-07-01,2014,4846,3.4,1.9,9608,6.2,0.5043713572023314,-2.7298273785628213,10.437556973564277
2014-06-01,2014,4982,3.5,1.8,9460,6.1,0.5266384778012685,4.950495049504955,13.92636633889779
2014-05-01,2014,4747,3.3,1.8,9859,6.3,0.4814889948270616,3.9640823477880005,15.023019142234073
2014-04-01,2014,4566,3.2,1.8,9702,6.2,0.4706246134817563,4.056517775752044,10.79834991506916
2014-03-01,2014,4388,3.1,1.8,10380,6.7,0.42273603082851635,0.3430139492339279,6.530711337703332
2014-02-01,2014,4373,3.1,1.8,10349,6.7,0.42255290366218956,5.960746304821907,3.576504026527716
2014-01-01,2014,4127,2.9,1.7,10202,6.6,0.40452852381885906,0.14559572919194963,-0.02422480620154488
2013-12-01,2013,4121,2.9,1.7,10404,6.7,0.39609765474817377,0.048555474629763395,0.8812729498163918
2013-11-01,2013,4119,2.9,1.7,10787,6.9,0.3818485213683137,-2.439602084320225,6.023166023166016
2013-10-01,2013,4222,3,1.7,11136,7.2,0.3791307471264368,2.2771317829457294,1.734939759036136
2013-09-01,2013,4128,2.9,1.7,11270,7.2,0.366282165039929,1.0526315789473717,-0.41013268998794095
2013-08-01,2013,4085,2.9,1.7,11279,7.2,0.3621774980051423,5.1480051480051525,2.4322968906720144
2013-07-01,2013,3885,2.8,1.7,11335,7.3,0.3427437141596824,-6.3855421686746965,-4.685966633954852
2013-06-01,2013,4150,3,1.6,11751,7.5,0.353161433069526,0.12062726176116367,3.6463536463536395
2013-05-01,2013,4145,3,1.6,11654,7.5,0.35567187231851727,3.93681043129388,5.658934488911549
2013-04-01,2013,3988,2.9,1.7,11760,7.6,0.3391156462585034,-2.158979391560356,0.45340050377833396
2013-03-01,2013,4076,2.9,1.6,11689,7.5,0.34870390965865344,1.798201798201804,5.105724600309447
2013-02-01,2013,4004,2.9,1.7,11950,7.7,0.3350627615062762,2.0647463675758315,6.066225165562922
2013-01-01,2013,3923,2.8,1.7,12471,8,0.314569801940502,-1.1838790931989918,1.0561566202988093
2012-12-01,2012,3970,2.9,1.5,12298,7.9,0.32281671816555535,2.372356884992266,4.226831189288527
2012-11-01,2012,3878,2.8,1.5,12005,7.7,0.3230320699708455,2.7284768211920607,3.828647925033457
2012-10-01,2012,3775,2.7,1.5,12124,7.8,0.31136588584625535,-2.7563111798042272,-3.4773715162362606
2012-09-01,2012,3882,2.8,1.4,12115,7.8,0.3204292199752373,1.9165135206090866,1.2255541069100317
2012-08-01,2012,3809,2.8,1.5,12471,8.1,0.30542859433886616,1.9812583668005423,0.4218296862641635
2012-07-01,2012,3735,2.7,1.5,12656,8.2,0.29511694058154236,-4.500127844541035,-6.1321940185976365
2012-06-01,2012,3911,2.8,1.6,12692,8.2,0.308146864166404,1.9817470664928338,8.158185840707954
2012-05-01,2012,3835,2.8,1.6,12660,8.2,0.3029225908372828,1.1073029264434542,-1.8930672806344306
2012-04-01,2012,3793,2.8,1.6,12646,8.2,0.2999367388897675,-4.674541342045735,0.6634819532908676
2012-03-01,2012,3979,2.9,1.6,12713,8.2,0.3129867065208841,10.038716814159287,11.612903225806459
2012-02-01,2012,3616,2.6,1.6,12813,8.3,0.28221337703894483,-7.4955231517011995,-0.0828958275766789
2012-01-01,2012,3909,2.8,1.5,12797,8.3,0.30546221770727516,3.742038216560517,3.5771065182829798
2011-12-01,2011,3768,2.8,1.5,13093,8.5,0.2877873672955014,5.6942496493688655,13.187143286272152
2011-11-01,2011,3565,2.6,1.5,13302,8.6,0.26800481130657045,-1.4921248963802203,-1.6008832459287858
2011-10-01,2011,3619,2.7,1.5,13594,8.8,0.2662203913491246,-4.107048224695287,4.7467438494934955
2011-09-01,2011,3774,2.8,1.5,13948,9,0.27057642672784626,13.367377590868124,18.71657754010696
2011-08-01,2011,3329,2.5,1.5,13818,9,0.24091764365320598,-8.114821970742481,2.147898128260195
2011-07-01,2011,3623,2.7,1.5,13763,9,0.26324202572113636,4.862518089725043,11.10088929776143
2011-06-01,2011,3455,2.6,1.5,13962,9.1,0.24745738432889272,8.681975463982393,7.098574085554876
2011-05-01,2011,3179,2.4,1.5,13855,9,0.2294478527607362,-2.454740718011661,2.4162371134020644
2011-04-01,2011,3259,2.4,1.4,13957,9.1,0.2335029017697213,-0.06133088009813159,6.572923479398307
2011-03-01,2011,3261,2.4,1.5,13737,9,0.23738807599912645,1.0849349039057765,1.5571473061351648
2011-02-01,2011,3226,2.4,1.5,13820,9,0.23342981186685963,3.930412371134029,-0.2782071097372496
2011-01-01,2011,3104,2.3,1.4,14013,9.1,0.22150859915792478,1.504251144538915,6.3742289239205
2010-12-01,2010,3058,2.3,1.5,14348,9.3,0.21313074993030387,-4.764870756773587,1.9673224408136125
2010-11-01,2010,3211,2.4,1.4,15081,9.8,0.21291691532391752,-0.7418856259659989,4.18559377027905
2010-10-01,2010,3235,2.4,1.4,14516,9.4,0.22285753651143567,10.8636052090473,15.494466262049267
2010-09-01,2010,2918,2.2,1.5,14579,9.5,0.20015090198230331,-2.7009003001000287,-2.3427041499330614
2010-08-01,2010,2999,2.2,1.4,14648,9.5,0.2047378481703987,-2.693056456846199,-4.884237234379951
2010-07-01,2010,3082,2.3,1.4,14512,9.4,0.21237596471885337,10.0321313816494,15.042926465098926
2010-06-01,2010,2801,2.1,1.5,14474,9.4,0.1935194141218737,-6.258366800535475,5.063765941485365
2010-05-01,2010,2988,2.2,1.4,14849,9.6,0.20122567176240824,-5.233111322549955,5.322523792738809
2010-04-01,2010,3153,2.4,1.5,15325,9.9,0.20574225122349102,17.693169092945137,22.78037383177569
2010-03-01,2010,2679,2,1.4,15202,9.9,0.17622681226154455,0.4876219054763764,7.031562125449464
2010-02-01,2010,2666,2,1.4,15113,9.8,0.17640442003573084,-6.0274938315121656,10.806317539484622
2010-01-01,2010,2837,2.1,1.3,15046,9.8,0.18855509770038548,10.475077881619942,14.073180538801777
2009-12-01,2009,2568,1.9,1.4,15098,9.9,0.17008875347728175,2.59688373951259,9.837467921300247
2009-11-01,2009,2503,1.9,1.4,15219,9.9,0.1644654707930876,4.031587697423111,12.141577060931908
2009-10-01,2009,2406,1.8,1.3,15352,10,0.15672225117248567,-3.2569360675512637,-3.8753495805033955
2009-09-01,2009,2487,1.9,1.2,15009,9.8,0.16570057965220866,6.372968349016261,-2.432326402510787
2009-08-01,2009,2338,1.8,1.2,14814,9.6,0.15782368030241664,4.749103942652333,1.8736383442265803
2009-07-01,2009,2232,1.7,1.3,14601,9.5,0.15286624203821655,-10.827007590890936,-11.917916337805845
2009-06-01,2009,2503,1.9,1.3,14707,9.5,0.1701910654790236,-1.8046292663789765,-12.604748603351956
2009-05-01,2009,2549,1.9,1.3,14499,9.4,0.17580522794675496,11.067538126361654,-6.90284879474069
2009-04-01,2009,2295,1.7,1.3,13853,9,0.16566808633508986,-9.431728492501978,-27.050222504767962
2009-03-01,2009,2534,1.9,1.4,13426,8.7,0.18873826903023982,-11.522346368715086,-21.572268647477564
2009-02-01,2009,2864,2.1,1.5,12898,8.3,0.2220499302217398,4.601899196493786,-15.190997927154282
2009-01-01,2009,2738,2,1.5,12058,7.8,0.22706916569912092,-12.9688493324857,-15.021725636250771
2008-12-01,2008,3146,2.3,1.5,11286,7.3,0.2787524366471735,-2.630764469204583,-14.371257485029943
2008-11-01,2008,3231,2.3,1.6,10538,6.8,0.30660466881761245,-4.323363932484458,-13.81701787143238
2008-10-01,2008,3377,2.4,1.7,10074,6.5,0.33521937661306334,4.810676598386099,-11.827676240208874
2008-09-01,2008,3222,2.3,1.8,9494,6.1,0.33937223509585,-12.302667392487754,-23.175965665236053
2008-08-01,2008,3674,2.6,1.8,9438,6.1,0.38927738927738925,-2.000533475593491,-8.946716232961583
2008-07-01,2008,3749,2.7,1.8,8937,5.8,0.4194919995524225,-2.1148825065274157,-11.266272189349113
2008-06-01,2008,3830,2.7,1.9,8575,5.6,0.4466472303206997,-8.67906533142585,-10.493105865856512
2008-05-01,2008,4194,3,1.9,8395,5.4,0.49958308516974387,3.9405204460966514,-9.29930795847751
2008-04-01,2008,4035,2.8,2.1,7637,5,0.528348828073851,-4.497041420118341,-11.221122112211223
2008-03-01,2008,4225,3,1.9,7822,5.1,0.5401431858859627,-1.2619770974526712,-9.061558329746022
2008-02-01,2008,4279,3,2.1,7497,4.9,0.5707616379885287,-7.4610726643598575,-7.700603968938735
2008-01-01,2008,4624,3.2,2.1,7685,5,0.6016916070266753,1.7381738173817274,-0.6018916595012858
2007-12-01,2007,4545,3.2,2,7645,5,0.5945062132112492,-2.1739130434782594,-0.02199736031676114
2007-11-01,2007,4646,3.3,2,7240,4.7,0.6417127071823204,0.2157031924072461,1.0439321444106087
2007-10-01,2007,4636,3.2,2.1,7237,4.7,0.6405969324305651,-0.34393809114359186,-4.589421691706108
2007-09-01,2007,4652,3.3,1.9,7170,4.7,0.6488145048814505,2.3317201935767695,-0.10736525660296481
2007-08-01,2007,4546,3.2,2.2,7067,4.6,0.643271543795104,-1.1309264897781612,-3.049690765621671
2007-07-01,2007,4598,3.2,2.1,7149,4.7,0.6431668764862218,-5.371475612265897,-7.335751713018945
2007-06-01,2007,4859,3.4,2.1,6979,4.6,0.6962315517982519,4.337556366759721,3.404979782932549
2007-05-01,2007,4657,3.3,2.2,6766,4.4,0.688294413242684,-0.6824482832160417,-2.2254881377283264
2007-04-01,2007,4689,3.3,2.1,6850,4.5,0.6845255474452555,-5.5018137847642095,1.4935064935065023
2007-03-01,2007,4962,3.5,2.2,6731,4.4,0.7371861536175902,5.596935518195356,7.402597402597411
2007-02-01,2007,4699,3.3,2.1,6927,4.5,0.6783600404215389,-1.3436909510812556,1.162540365984932
2007-01-01,2007,4763,3.3,2.1,7116,4.6,0.6693367060146149,3.0952380952380842,2.5403659849300375
2006-12-01,2006,4620,3.3,2.2,6762,4.4,0.6832298136645962,0,0.6316706599869271
2006-12-01,2006,4620,3.3,2.2,6762,4.4,0.6832298136645962,-0.5382131324004336,0.6316706599869271
2006-11-01,2006,4645,3.3,2.2,6872,4.5,0.6759313154831199,0,-1.9421574836394395
2006-11-01,2006,4645,3.3,2.2,6872,4.5,0.6759313154831199,1.176214332389458,-1.9421574836394395
2006-10-01,2006,4591,3.2,2.2,6727,4.4,0.6824736137951538,0,-2.5265392781316343
2006-10-01,2006,4591,3.2,2.2,6727,4.4,0.6824736137951538,-3.082119484906054,-2.5265392781316343
2006-09-01,2006,4737,3.3,2.1,6847,4.5,0.6918358405140937,0,7.806099226217578
2006-09-01,2006,4737,3.3,2.1,6847,4.5,0.6918358405140937,0.5732484076433231,7.806099226217578
2006-08-01,2006,4710,3.3,2.2,7091,4.7,0.6642222535608517,0,2.080624187256186
2006-08-01,2006,4710,3.3,2.2,7091,4.7,0.6642222535608517,7.191624943104236,2.080624187256186
2006-07-01,2006,4394,3.1,2.2,7175,4.7,0.612404181184669,0,-1.5460452610351783
2006-07-01,2006,4394,3.1,2.2,7175,4.7,0.612404181184669,-4.76809709579541,-1.5460452610351783
2006-06-01,2006,4614,3.3,2.2,7001,4.6,0.6590487073275246,0,-3.674321503131528
2006-06-01,2006,4614,3.3,2.2,7001,4.6,0.6590487073275246,3.3833744118306086,-3.674321503131528
2006-05-01,2006,4463,3.2,2.2,6980,4.6,0.6393982808022922,0,-5.6846999154691495
2006-05-01,2006,4463,3.2,2.2,6980,4.6,0.6393982808022922,-6.826722338204593,-5.6846999154691495
2006-04-01,2006,4790,3.4,2,7120,4.7,0.672752808988764,0,10.751445086705203
2006-04-01,2006,4790,3.4,2,7120,4.7,0.672752808988764,1.2256973795435444,10.751445086705203
2006-03-01,2006,4732,3.4,2.2,7072,4.7,0.6691176470588235,0,7.618831021150774
2006-03-01,2006,4732,3.4,2.2,7072,4.7,0.6691176470588235,9.410404624277447,7.618831021150774
2006-02-01,2006,4325,3.1,2.2,7184,4.8,0.6020322939866369,0,1.0042036431574086
2006-02-01,2006,4325,3.1,2.2,7184,4.8,0.6020322939866369,-1.6374801000682337,1.8126177024482049
2006-01-01,2006,4397,3.1,2.2,7064,4.7,0.6224518686296716,0,5.090822179732313
2006-01-01,2006,4397,3.1,2.2,7064,4.7,0.6224518686296716,2.6856609061186365,1.0340073529411686
2005-12-01,2005,4282,3.1,2.1,7279,4.9,0.5882676191784586,0.8003766478342778,3.3800096571704463
2005-11-01,2005,4248,3.1,2.1,7566,5,0.5614591593973037,1.5296367112810794,-0.1879699248120259
2005-10-01,2005,4184,3,2.1,7453,5,0.5613846773111498,-3.860294117647056,3.0034465780403696
2005-09-01,2005,4352,3.1,2.3,7553,5,0.5761948894479015,5.070014485755681,14.616802739004475
2005-08-01,2005,4142,3,2.2,7345,4.9,0.5639210347174949,-2.67857142857143,-0.40875210387112393
2005-07-01,2005,4256,3.1,2,7406,5,0.5746691871455577,4.775972427375685,5.242334322453024
2005-06-01,2005,4062,2.9,2.1,7524,5,0.539872408293461,6.979194100605746,2.4464060529634235
2005-05-01,2005,3797,2.8,2.1,7651,5.1,0.4962749967324533,-8.7040153883145,-0.18401682439537215
2005-04-01,2005,4159,3,2.1,7672,5.2,0.5421011470281544,2.8437190900098885,2.086401570937646
2005-03-01,2005,4044,2.9,2.1,7737,5.2,0.5226832105467235,1.9924337957124783,16.47465437788018
2005-02-01,2005,3965,2.9,2,7980,5.4,0.4968671679197995,4.232386961093582,0.5579507988840993
2005-01-01,2005,3804,2.8,2.1,7784,5.3,0.4886947584789311,-6.627393225331368,-0.44490970950012976
2004-12-01,2004,4074,3,2,7934,5.4,0.5134862616586842,17.338709677419352,15.052245128494768
2004-11-01,2004,3472,2.6,2.1,7932,5.4,0.437720625315179,-11.945219376109561,-8.966963817514417
2004-10-01,2004,3943,2.9,1.9,8061,5.5,0.4891452673365587,3.192881444647999,18.160023973629013
2004-09-01,2004,3821,2.8,1.9,7927,5.4,0.4820234641100038,7.907370799209268,2.9919137466307255
